Species,Date,Day,Temp,CO2,Potnum,Water,LeafDW,RootDW,StemDW,Height,Basaldia1,Basaldia2,
E. globulus,2011/01/17,1,Elv,640,1086,Rewatered  drought,11.26,8.33,6.42,59.5,7.27,7.84,
E. globulus,2011/01/17,1,Elv,400,1007,Rewatered  drought,9.84,13.68,4.71,49.5,6.19,6.53,
E. globulus,2011/01/17,1,Amb,400,1052,Rewatered  drought,8.33,9.1,4.72,50.9,6.4,6.71,
E. globulus,2011/01/17,1,Amb,640,1112,Rewatered  drought,8.33,7.6,4.74,57.1,7.46,7.76,
E. globulus,2011/01/17,1,Elv,640,1071,Sustained drought,7.83,9.06,4.02,45.9,6.53,6.26,
E. globulus,2011/01/17,1,Elv,400,1130,Sustained drought,8.59,8.02,3.47,41.8,5.96,5.88,
E. globulus,2011/01/17,1,Amb,400,1083,Sustained drought,7.98,7.87,3.7,39.4,6.09,6.25,
E. globulus,2011/01/17,1,Amb,640,1109,Sustained drought,8.63,9.57,3.97,45.6,6.47,6.48,
E. globulus,2011/01/17,1,Elv,640,1091,Well watered,17.41,18.48,12.42,53.4,10.14,10.52,
E. globulus,2011/01/17,1,Elv,400,1126,Well watered,13.62,12.3,10.68,66.2,9.32,9.45,
E. globulus,2011/01/17,1,Amb,400,1105,Well watered,11.03,13.31,5.88,58.1,7.6,8.16,
E. globulus,2011/01/17,1,Amb,640,1023,Well watered,8.13,6.85,4.24,46.5,6.97,6.65,
E. globulus,2011/01/24,8,Elv,640,1094,Rewatered  drought,12.5351,15.9083,6.397,55.9,8.9,9,
E. globulus,2011/01/24,8,Elv,400,1025,Rewatered  drought,9.1465,5.7524,5.3054,60.7,6.46,6.59,
E. globulus,2011/01/24,8,Amb,400,1051,Rewatered  drought,9.0295,5.3154,3.8467,50,6.43,6.93,
E. globulus,2011/01/24,8,Amb,640,1116,Rewatered  drought,11.8835,8.7108,6.3146,58.3,8.04,8.19,
E. globulus,2011/01/24,8,Elv,640,1064,Sustained drought,6.8068,6.3686,4.9498,45.5,7.3,7.06,
E. globulus,2011/01/24,8,Elv,400,1030,Sustained drought,7.5414,9.7143,4.5967,48.9,6.04,6.1,
E. globulus,2011/01/24,8,Amb,400,1059,Sustained drought,6.5834,5.5809,2.9111,48,5.3,5.29,
E. globulus,2011/01/24,8,Amb,640,1111,Sustained drought,7.004,5.9841,3.5766,40.5,7.14,7.46,
E. globulus,2011/01/24,8,Elv,640,1042,Well watered,12.7881,11.555,9.3455,63.5,9.22,9.22,
E. globulus,2011/01/24,8,Elv,400,1008,Well watered,13.1548,10.0503,8.3739,55.5,8.38,8.87,
E. globulus,2011/01/24,8,Amb,400,1049,Well watered,10.1783,6.5885,5.9335,53.3,8.62,8.78,
E. globulus,2011/01/24,8,Amb,640,1018,Well watered,9.919,6.3488,4.6052,49.7,7.11,7.88,
E. globulus,2011/02/01,17,Elv,640,1062,Rewatered  drought,13.2963,10.3892,7.5447,59.5,7.45,7.08,
E. globulus,2011/02/01,17,Elv,400,1032,Rewatered  drought,11.5566,7.8835,9.0788,61,7.56,7.53,
E. globulus,2011/02/01,17,Amb,400,1084,Rewatered  drought,14.9052,7.3206,6.8517,51.8,8.51,8.19,
E. globulus,2011/02/01,17,Amb,640,1014,Rewatered  drought,13.3333,8.3235,7.3262,54,7.98,7.97,
E. globulus,2011/02/01,17,Elv,640,1046,Sustained drought,7.6458,10.142,5.0352,49.6,7.03,7.62,
E. globulus,2011/02/01,17,Elv,400,1035,Sustained drought,8.5726,5.7208,5.3434,53.2,6.15,6.54,
E. globulus,2011/02/01,17,Amb,400,1098,Sustained drought,7.9161,5.1071,4.0751,43.6,6.88,7.01,
E. globulus,2011/02/01,17,Amb,640,1016,Sustained drought,9.5357,12.5487,4.9825,47.8,7.1,7.33,
E. globulus,2011/02/01,17,Elv,640,1069,Well watered,15.9577,12.6453,9.2881,55.4,8.3,8.4,
E. globulus,2011/02/01,17,Elv,400,1129,Well watered,17.7533,11.8079,9.6703,60.6,8.77,8.58,
E. globulus,2011/02/01,17,Amb,400,1055,Well watered,9.3451,8.3791,7.1672,56,8.01,8.58,
E. globulus,2011/02/01,17,Amb,640,1118,Well watered,16.0603,13.033,6.8566,55.6,9.12,9.2,
E. globulus,2011/02/17,33,Elv,640,1041,Rewatered  drought,13.4866,12.8158,7.8529,70.5,8.34,8.21,
E. globulus,2011/02/17,33,Elv,400,1131,Rewatered  drought,11.9816,7.6759,8.5192,60.5,8,7.9,
E. globulus,2011/02/17,33,Amb,400,1097,Rewatered  drought,12.5133,7.5512,7.4128,54.1,7.7,8.07,
E. globulus,2011/02/17,33,Amb,640,1135,Rewatered  drought,16.961,11.8492,9.3405,68.1,8.16,8.25,
E. globulus,2011/02/17,33,Elv,640,1093,Sustained drought,11.5409,11.6437,4.6724,44,6.52,6.73,
E. globulus,2011/02/17,33,Elv,400,1006,Sustained drought,7.6943,6.4192,5.4091,46,6.63,6.47,
E. globulus,2011/02/17,33,Amb,400,1082,Sustained drought,7.4928,7.4959,4.5083,44.5,6.01,6.22,
E. globulus,2011/02/17,33,Amb,640,1143,Sustained drought,10.0705,10.6557,4.6567,47.1,6.11,6.09,
E. globulus,2011/02/17,33,Elv,640,1044,Well watered,20.9618,13.5732,12.649,75.3,9.1,9.8,
E. globulus,2011/02/17,33,Elv,400,1033,Well watered,15.8449,10.0557,10.7564,54,11,11.5,
E. globulus,2011/02/17,33,Amb,400,1079,Well watered,21.6648,9.9078,10.3045,61,9.19,9.46,
E. globulus,2011/02/17,33,Amb,640,1139,Well watered,16.4804,22.2507,9.258,55,9.23,9.33,
E. globulus,2011/02/25,41,Elv,640,1063,Rewatered  drought,13.0497,13.027,8.52,57.5,6.57,7.07,
E. globulus,2011/02/25,41,Elv,400,1123,Rewatered  drought,11.7608,8.6293,7.429,58.2,5.89,5.92,
E. globulus,2011/02/25,41,Amb,400,1104,Rewatered  drought,12.2229,8.5512,7.1025,55,6.44,6.8,
E. globulus,2011/02/25,41,Amb,640,1136,Rewatered  drought,16.0407,9.6659,7.3287,48.4,7.31,7.32,
E. globulus,2011/02/25,41,Elv,640,1085,Sustained drought,9.756,9.9977,6.1248,50,7.45,7.31,
E. globulus,2011/02/25,41,Elv,400,1132,Sustained drought,7.4905,4.6008,4.0286,45,5.85,5.39,
E. globulus,2011/02/25,41,Amb,400,1107,Sustained drought,8.817,11.3708,4.6946,45.3,5.46,5.68,
E. globulus,2011/02/25,41,Amb,640,1144,Sustained drought,10.6965,8.7671,5.7051,45.9,6.21,6.21,
E. globulus,2011/02/25,41,Elv,640,1070,Well watered,21.5068,14.0936,14.4114,70,10.19,10.5,
E. globulus,2011/02/25,41,Elv,400,1012,Well watered,24.1825,14.5075,19.8926,81.5,10.89,11.01,
E. globulus,2011/02/25,41,Amb,400,1081,Well watered,16.421,14.2384,8.1918,62,9.62,9.33,
E. globulus,2011/02/25,41,Amb,640,1142,Well watered,21.4533,16.4053,12.3642,58,10.27,10.47,
E. globulus,2011/03/22,63,Elv,640,1048,Rewatered  drought,13.5168,8.1251,8.6312,55.5,6.87,7.04,
E. globulus,2011/03/22,63,Elv,400,1005,Rewatered  drought,13.5778,7.3257,9.9557,55,6.98,6.95,
E. globulus,2011/03/22,63,Amb,400,1077,Rewatered  drought,11.4275,10.2648,8.0416,56.1,6.76,6.67,
E. globulus,2011/03/22,63,Amb,640,1013,Rewatered  drought,14.4992,10.6344,7.1955,58,6.56,6.59,
E. globulus,2011/03/22,63,Elv,640,1047,Sustained drought,8.9949,8.4935,5.7653,42.5,6.57,6.36,
E. globulus,2011/03/22,63,Elv,400,1003,Sustained drought,8.4523,7.3666,4.9569,48.5,5.62,5.81,
E. globulus,2011/03/22,63,Amb,400,1058,Sustained drought,7.3453,7.0371,4.0913,44,4.98,5.06,
E. globulus,2011/03/22,63,Amb,640,1024,Sustained drought,7.8164,6.1326,3.9938,46,5.2,5.16,
E. globulus,2011/03/22,63,Elv,640,1090,Well watered,19.033,18.0534,11.9661,63,10.72,10.49,
E. globulus,2011/03/22,63,Elv,400,1034,Well watered,16.6325,16.2683,13.8373,86.5,11.91,11.07,
E. globulus,2011/03/22,63,Amb,400,1106,Well watered,19.6416,15.1915,15.6112,87.5,10.95,10.75,
E. globulus,2011/03/22,63,Amb,640,1114,Well watered,17.5599,19.1083,10.4267,64.3,10.4,11.02,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
